date,issue,sim_test_code,open_code
2002-01-01,2002001,526,073
2002-01-02,2002002,203,237
2002-01-03,2002003,102,071
2002-01-04,2002004,309,204
2002-01-05,2002005,634,374
2002-01-06,2002006,033,128
2002-01-07,2002007,345,849
2002-01-08,2002008,019,852
2002-01-09,2002009,034,155
2002-01-10,2002010,115,795
2002-01-11,2002011,153,217
2002-01-12,2002012,339,482
2002-01-13,2002013,868,986
2002-01-14,2002014,374,232
2002-01-15,2002015,558,871
2002-01-16,2002016,925,171
2002-01-17,2002017,303,102
2002-01-18,2002018,855,178
2002-01-19,2002019,867,446
2002-01-20,2002020,517,737
2002-01-21,2002021,517,859
2002-01-22,2002022,047,947
2002-01-23,2002023,562,681
2002-01-24,2002024,687,197
2002-01-25,2002025,962,513
2002-01-26,2002026,799,780
2002-01-27,2002027,017,248
2002-01-28,2002028,784,810
2002-01-29,2002029,960,953
2002-01-30,2002030,028,525
2002-01-31,2002031,293,511
2002-02-01,2002032,880,133
2002-02-02,2002033,205,964
2002-02-03,2002034,271,734
2002-02-04,2002035,989,912
2002-02-05,2002036,939,334
2002-02-06,2002037,428,706
2002-02-07,2002038,972,516
2002-02-08,2002039,299,622
2002-02-09,2002040,740,305
2002-02-10,2002041,706,436
2002-02-11,2002042,522,116
2002-02-19,2002043,367,190
2002-02-20,2002044,281,082
2002-02-21,2002045,067,098
2002-02-22,2002046,744,646
2002-02-23,2002047,031,118
2002-02-24,2002048,121,409
2002-02-25,2002049,608,830
2002-02-26,2002050,073,352
2002-02-27,2002051,823,476
2002-02-28,2002052,722,565
2002-03-01,2002053,649,352
2002-03-02,2002054,172,457
2002-03-03,2002055,821,037
2002-03-04,2002056,527,733
2002-03-05,2002057,888,763
2002-03-06,2002058,464,800
2002-03-07,2002059,168,818
2002-03-08,2002060,374,692
2002-03-09,2002061,965,878
2002-03-10,2002062,104,341
2002-03-11,2002063,522,408
2002-03-12,2002064,657,779
2002-03-13,2002065,643,852
2002-03-14,2002066,412,121
2002-03-15,2002067,252,657
2002-03-16,2002068,598,482
2002-03-17,2002069,526,874
2002-03-18,2002070,060,933
2002-03-19,2002071,192,830
2002-03-20,2002072,226,222
2002-03-21,2002073,755,708
2002-03-22,2002074,769,319
2002-03-23,2002075,990,276
2002-03-24,2002076,751,867
2002-03-25,2002077,980,239
2002-03-26,2002078,547,273
2002-03-27,2002079,616,132
2002-03-28,2002080,262,443
2002-03-29,2002081,106,556
2002-03-30,2002082,385,460
2002-03-31,2002083,809,315
2002-04-01,2002084,214,083
2002-04-02,2002085,044,106
2002-04-03,2002086,758,299
2002-04-04,2002087,570,283
2002-04-05,2002088,124,775
2002-04-06,2002089,963,956
2002-04-07,2002090,481,553
2002-04-08,2002091,329,360
2002-04-09,2002092,407,435
2002-04-10,2002093,875,218
2002-04-11,2002094,141,283
2002-04-12,2002095,933,786
2002-04-13,2002096,562,427
2002-04-14,2002097,834,155
2002-04-15,2002098,569,159
2002-04-16,2002099,719,913
2002-04-17,2002100,004,635
2002-04-18,2002101,312,224
2002-04-19,2002102,275,012
2002-04-20,2002103,380,088
2002-04-21,2002104,748,818
2002-04-22,2002105,189,933
2002-04-23,2002106,407,287
2002-04-24,2002107,304,314
2002-06-04,2002148,299,793
2002-06-05,2002149,740,094
2002-06-06,2002150,706,490
2002-06-07,2002151,522,396
2002-06-08,2002152,367,992
2002-06-09,2002153,281,909
2002-06-10,2002154,067,835
2002-06-11,2002155,744,557
2002-06-12,2002156,031,189
2002-06-13,2002157,121,599
2002-06-14,2002158,608,754
