date,issue,sim_test_code,open_code,sim_sum_val,sim_span,open_digit_1,open_digit_2,open_digit_3,open_sum_val,open_span,sim_pattern,open_pattern,sim_pattern_组三,open_pattern_组三,sim_pattern_组六,open_pattern_组六,sim_pattern_豹子,open_pattern_豹子,match_count,match_pos_count,single_digit,sim_digit_1,sim_digit_2,sim_digit_3,single_hot_5,single_hot_3
2002-01-01,2002001,526,73,13,4,0,7,3,10,7,组六,组六,0,0,1,1,0,0,0,0,2.0,5,2,6,1.0,1.0
2002-01-02,2002002,203,237,5,3,2,3,7,12,5,组六,组六,0,0,1,1,0,0,2,1,0.0,2,0,3,1.0,1.0
2002-01-03,2002003,102,71,3,2,0,7,1,8,7,组六,组六,0,0,1,1,0,0,2,0,2.0,1,0,2,2.0,2.0
2002-01-04,2002004,309,204,12,9,2,0,4,6,4,组六,组六,0,0,1,1,0,0,1,1,3.0,3,0,9,2.0,1.0
2002-01-05,2002005,634,374,13,3,3,7,4,14,4,组六,组六,0,0,1,1,0,0,2,1,1.0,6,3,4,2.0,1.0
2002-01-06,2002006,33,128,6,3,1,2,8,11,7,组三,组六,1,0,0,1,0,0,0,0,8.0,0,3,3,1.0,1.0
2002-01-07,2002007,345,849,12,2,8,4,9,21,5,组六,组六,0,0,1,1,0,0,1,1,8.0,3,4,5,2.0,2.0
2002-01-08,2002008,19,852,10,9,8,5,2,15,6,组六,组六,0,0,1,1,0,0,0,0,1.0,0,1,9,2.0,2.0
2002-01-09,2002009,34,155,7,4,1,5,5,11,4,组六,组三,0,1,1,0,0,0,0,0,7.0,0,3,4,2.0,1.0
2002-01-10,2002010,115,795,7,4,7,9,5,21,4,组三,组六,1,0,0,1,0,0,1,1,2.0,1,1,5,2.0,1.0
2002-01-11,2002011,153,217,9,4,2,1,7,10,6,组六,组六,0,0,1,1,0,0,1,0,4.0,1,5,3,1.0,1.0
2002-01-12,2002012,339,482,15,6,4,8,2,14,6,组三,组六,1,0,0,1,0,0,0,0,9.0,3,3,9,1.0,1.0
2002-01-13,2002013,868,986,22,2,9,8,6,23,3,组三,组六,1,0,0,1,0,0,2,0,2.0,8,6,8,2.0,1.0
2002-01-14,2002014,374,232,14,4,2,3,2,7,1,组六,组三,0,1,1,0,0,0,1,0,8.0,3,7,4,2.0,1.0
2002-01-15,2002015,558,871,18,3,8,7,1,16,7,组三,组六,1,0,0,1,0,0,1,0,1.0,5,5,8,1.0,1.0
2002-01-16,2002016,925,171,16,7,1,7,1,9,6,组六,组三,0,1,1,0,0,0,0,0,1.0,9,2,5,2.0,2.0
2002-01-17,2002017,303,102,6,3,1,0,2,3,2,组三,组六,1,0,0,1,0,0,1,1,1.0,3,0,3,3.0,3.0
2002-01-18,2002018,855,178,18,3,1,7,8,16,7,组三,组六,1,0,0,1,0,0,1,0,4.0,8,5,5,3.0,2.0
2002-01-19,2002019,867,446,21,2,4,4,6,14,2,组六,组三,0,1,1,0,0,0,1,0,7.0,8,6,7,3.0,1.0
2002-01-20,2002020,517,737,13,6,7,3,7,17,4,组六,组三,0,1,1,0,0,0,1,1,8.0,5,1,7,2.0,1.0
2002-01-21,2002021,517,859,13,6,8,5,9,22,4,组六,组六,0,0,1,1,0,0,1,0,9.0,5,1,7,1.0,1.0
2002-01-22,2002022,47,947,11,7,9,4,7,20,5,组六,组六,0,0,1,1,0,0,2,2,6.0,0,4,7,1.0,1.0
2002-01-23,2002023,562,681,13,4,6,8,1,15,7,组六,组六,0,0,1,1,0,0,1,0,1.0,5,6,2,1.0,1.0
2002-01-24,2002024,687,197,21,2,1,9,7,17,8,组六,组六,0,0,1,1,0,0,1,1,5.0,6,8,7,1.0,1.0
2002-01-25,2002025,962,513,17,7,5,1,3,9,4,组六,组六,0,0,1,1,0,0,0,0,7.0,9,6,2,1.0,1.0
2002-01-26,2002026,799,780,25,2,7,8,0,15,8,组三,组六,1,0,0,1,0,0,1,1,2.0,7,9,9,1.0,1.0
2002-01-27,2002027,17,248,8,7,2,4,8,14,6,组六,组六,0,0,1,1,0,0,0,0,8.0,0,1,7,1.0,1.0
2002-01-28,2002028,784,810,19,4,8,1,0,9,8,组六,组六,0,0,1,1,0,0,1,0,9.0,7,8,4,1.0,1.0
2002-01-29,2002029,960,953,15,9,9,5,3,17,6,组六,组六,0,0,1,1,0,0,1,1,5.0,9,6,0,1.0,1.0
2002-01-30,2002030,28,525,10,8,5,2,5,12,3,组六,组三,0,1,1,0,0,0,1,1,5.0,0,2,8,2.0,2.0
2002-01-31,2002031,293,511,14,7,5,1,1,7,4,组六,组三,0,1,1,0,0,0,0,0,1.0,2,9,3,2.0,2.0
2002-02-01,2002032,880,133,16,8,1,3,3,7,2,组三,组三,1,1,0,0,0,0,0,0,9.0,8,8,0,2.0,1.0
2002-02-02,2002033,205,964,7,5,9,6,4,19,5,组六,组六,0,0,1,1,0,0,0,0,7.0,2,0,5,2.0,1.0
2002-02-03,2002034,271,734,10,6,7,3,4,14,4,组六,组六,0,0,1,1,0,0,1,0,9.0,2,7,1,2.0,2.0
2002-02-04,2002035,989,912,26,1,9,1,2,12,8,组三,组六,1,0,0,1,0,0,1,1,3.0,9,8,9,2.0,1.0
2002-02-05,2002036,939,334,21,6,3,3,4,10,1,组三,组三,1,1,0,0,0,0,1,1,7.0,9,3,9,2.0,1.0
2002-02-06,2002037,428,706,14,6,7,0,6,13,7,组六,组六,0,0,1,1,0,0,0,0,5.0,4,2,8,2.0,1.0
2002-02-07,2002038,972,516,18,7,5,1,6,12,5,组六,组六,0,0,1,1,0,0,0,0,6.0,9,7,2,1.0,1.0
